time,enrolled,available,waitlisted,total
2022-11-05T20:11:09,0,300,0,300
2022-11-05T20:20:26,0,300,0,300
2022-11-05T20:29:43,0,300,0,300
2022-11-05T20:39:11,0,300,0,300
2022-11-05T20:48:27,0,300,0,300
2022-11-05T20:57:43,0,300,0,300
2022-11-05T21:06:59,0,300,0,300
2022-11-05T21:16:14,0,300,0,300
2022-11-05T21:25:29,0,300,0,300
2022-11-05T21:34:45,0,300,0,300
2022-11-05T21:44:01,0,300,0,300
2022-11-05T21:53:17,0,300,0,300
2022-11-05T22:02:31,0,300,0,300
2022-11-05T22:11:47,0,300,0,300
2022-11-05T22:21:02,0,300,0,300
2022-11-05T22:30:17,0,300,0,300
2022-11-05T22:39:35,0,300,0,300
2022-11-05T22:48:51,0,300,0,300
2022-11-05T22:58:07,0,300,0,300
2022-11-05T23:07:23,0,300,0,300
2022-11-05T23:16:39,0,300,0,300
2022-11-05T23:25:55,0,300,0,300
2022-11-05T23:35:14,0,300,0,300
2022-11-05T23:44:29,0,300,0,300
2022-11-05T23:53:46,0,300,0,300
2022-11-06T00:03:01,0,300,0,300
2022-11-06T00:12:27,0,300,0,300
2022-11-06T00:21:43,0,300,0,300
2022-11-06T00:30:59,0,300,0,300
2022-11-06T00:40:14,0,300,0,300
2022-11-06T00:49:30,0,300,0,300
2022-11-06T00:58:45,0,300,0,300
2022-11-06T01:08:00,0,300,0,300
2022-11-06T01:17:15,0,300,0,300
2022-11-06T01:26:31,0,300,0,300
2022-11-06T01:35:47,0,300,0,300
2022-11-06T01:45:03,0,300,0,300
2022-11-06T01:54:19,0,300,0,300
2022-11-06T01:03:35,0,300,0,300
2022-11-06T01:12:52,0,300,0,300
2022-11-06T01:22:08,0,300,0,300
2022-11-06T01:31:24,0,300,0,300
2022-11-06T01:40:39,0,300,0,300
2022-11-06T01:49:56,0,300,0,300
2022-11-06T01:59:15,0,300,0,300
2022-11-06T02:08:34,0,300,0,300
2022-11-06T02:17:52,0,300,0,300
2022-11-06T02:27:13,0,300,0,300
2022-11-06T02:36:33,0,300,0,300
2022-11-06T02:45:52,0,300,0,300
2022-11-06T02:55:11,0,300,0,300
2022-11-06T03:04:29,0,300,0,300
2022-11-06T03:13:47,0,300,0,300
2022-11-06T03:23:03,0,300,0,300
2022-11-06T03:32:21,0,300,0,300
2022-11-06T03:41:40,0,300,0,300
2022-11-06T03:51:00,0,300,0,300
2022-11-06T04:00:20,0,300,0,300
2022-11-06T04:15:38,0,300,0,300
2022-11-06T04:24:58,0,300,0,300
2022-11-06T04:34:18,0,300,0,300
